ticker,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
WMT,2017-01-31,USD,31673000000,6858000000,None,5571000000,-1782000000,10080000000,10619000000,-402000000,-1021000000,14293000000,-13896000000,-19072000000,-1673000000,8298000000,8298000000,None,6216000000,6216000000,None,None,137000000,None,-8298000000,None,-1838000000,-452000000,13643000000
HD,2021-01-31,USD,18839000000,7029000000,None,4969000000,2648000000,2519000000,2463000000,465000000,1657000000,12866000000,-10170000000,-2983000000,-974000000,791000000,791000000,None,6451000000,6451000000,None,326000000,7933000000,None,-465000000,None,5686000000,None,12866000000
HD,2020-02-02,USD,13687000000,5427000000,None,76000000,696000000,2296000000,2678000000,170000000,593000000,11242000000,-2653000000,-10798000000,-365000000,6965000000,6965000000,None,5958000000,5958000000,None,280000000,3420000000,None,-6685000000,None,236000000,119000000,11242000000
HD,2019-02-03,USD,13165000000,4809000000,None,701000000,1442000000,2152000000,2442000000,-33000000,1244000000,11121000000,-2416000000,-12547000000,-220000000,9963000000,9963000000,None,4704000000,4704000000,None,236000000,3466000000,None,-9727000000,None,-1817000000,-19000000,11121000000
HD,2018-01-28,USD,12031000000,5723000000,None,509000000,-137000000,2062000000,1897000000,-139000000,84000000,8630000000,-2228000000,-8870000000,850000000,8000000000,8000000000,None,4212000000,4212000000,None,255000000,2991000000,None,-7745000000,None,933000000,124000000,8630000000
HD,2017-01-29,USD,9783000000,5547000000,None,654000000,1072000000,1973000000,1621000000,138000000,769000000,7957000000,-1583000000,-7870000000,360000000,6880000000,6880000000,None,3404000000,3404000000,None,218000000,4959000000,None,-6662000000,None,330000000,-8000000,7957000000
BAC,2020-12-31,USD,2819627000000,389706000000,380463000000,380463000000,164000000,None,92151000000,11000000000,None,71151000000,2200000000,68951000000,3359414000000,255276000000,234491000000,-322194000000,-803194000000,2546703000000,19321000000,None,None,19321000000,19321000000,262934000000,None,262934000000,19321000000,32200000000,282255000000,1795480000000,170339000000,272924000000,None,164088000000,85982000000,8650814105
BAC,2019-12-31,USD,2434079000000,170760000000,161560000000,161560000000,285000000,None,90912000000,10561000000,None,70651000000,1700000000,68951000000,2897868000000,1469209000000,472197000000,633757000000,1053796000000,2169269000000,24204000000,None,None,24204000000,24204000000,216602000000,None,240856000000,24204000000,34975000000,265060000000,1928463000000,165131000000,264810000000,None,156319000000,91723000000,8836148954
BAC,2018-12-31,USD,2354507000000,187771000000,177404000000,177404000000,300000000,None,80631000000,9906000000,None,70725000000,1774000000,68951000000,1768544000000,1409386000000,441753000000,619157000000,1053941000000,2089182000000,20189000000,None,None,20189000000,20189000000,229392000000,None,229392000000,20189000000,27689000000,249529000000,1839601000000,187018000000,265325000000,None,136314000000,118896000000,9669286370
BAC,2017-12-31,USD,2281234000000,378222000000,157434000000,366792000000,236000000,None,80510000000,9247000000,None,71263000000,2312000000,68951000000,1079881000000,1184944000000,209358000000,597564000000,998333000000,2014088000000,32666000000,None,None,32666000000,32666000000,183208000000,None,227402000000,32666000000,31786000000,260068000000,1798214000000,176902000000,267146000000,None,113816000000,138089000000,10287302431
BAC,2016-12-31,USD,2188067000000,337013000000,147738000000,327947000000,377000000,None,81030000000,9139000000,None,71891000000,2922000000,68969000000,957148000000,1127233000000,180209000000,125793000000,961814000000,1921872000000,23944000000,None,None,23944000000,23944000000,216823000000,None,216823000000,23944000000,30037000000,240767000000,1260934000000,170291000000,266195000000,None,101225000000,147038000000,10052625604
PG,2021-06-30,USD,18371000000,4599000000,None,1391000000,651000000,2735000000,2787000000,342000000,309000000,14352000000,-2834000000,-21531000000,-3333000000,11009000000,11009000000,None,8263000000,8263000000,None,None,4417000000,None,-8773000000,None,-5994000000,None,14306000000
PG,2020-06-30,USD,17403000000,4227000000,None,1923000000,3000000,3013000000,3073000000,-634000000,637000000,13103000000,3045000000,-8367000000,2345000000,7405000000,7405000000,None,7789000000,7789000000,None,None,0,None,-4831000000,None,12081000000,None,13027000000
PG,2019-06-30,USD,15242000000,3611000000,None,1856000000,515000000,2824000000,3347000000,276000000,239000000,3966000000,-3490000000,-9994000000,-2215000000,5003000000,5003000000,None,7498000000,7498000000,None,None,0,None,-1129000000,None,1670000000,-88000000,3897000000
