ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
JNJ,2020-12-31,USD,174894000000,51237000000,13985000000,26666000000,9344000000,13576000000,123657000000,18766000000,28038000000,89795000000,53402000000,36393000000,26754000000,None,12681000000,3132000000,6562000000,111616000000,42493000000,9505000000,None,2600000000,2631000000,58352000000,None,34434000000,1799000000,32635000000,37065000000,30357000000,11944000000,63278000000,38490000000,113890000000,3120000000,2632200000
JNJ,2019-12-31,USD,157728000000,45274000000,17305000000,20435000000,9020000000,14481000000,105186000000,17658000000,25674000000,81282000000,47643000000,33639000000,7582000000,1149000000,3130000000,2486000000,5695000000,98257000000,35964000000,8544000000,None,1200000000,1202000000,62293000000,None,27594000000,1100000000,26494000000,28796000000,18399000000,11734000000,59471000000,38417000000,110659000000,3120000000,2631900000
JNJ,2018-12-31,USD,152954000000,46033000000,18107000000,19687000000,8599000000,14098000000,99756000000,17035000000,24816000000,78064000000,47611000000,30453000000,10005000000,517000000,1580000000,3649000000,4182000000,93202000000,31230000000,7537000000,None,2800000000,2796000000,61972000000,None,30320000000,2636000000,27684000000,33116000000,13257000000,8589000000,59752000000,34362000000,106216000000,3120000000,2678200000
JNJ,2017-12-31,USD,157303000000,43088000000,17824000000,18296000000,8765000000,13490000000,107636000000,17005000000,24461000000,85134000000,53228000000,31906000000,5310000000,758000000,472000000,2537000000,4971000000,97143000000,30537000000,7310000000,None,3900000000,3906000000,66606000000,None,32174000000,1500000000,30675000000,36080000000,12216000000,9017000000,60160000000,31554000000,101793000000,3120000000,2684800000
JNJ,2016-12-31,USD,141208000000,65032000000,18972000000,41907000000,8144000000,11699000000,70028000000,15912000000,21861000000,49681000000,26876000000,22805000000,12865000000,900000000,22935000000,3282000000,4435000000,70790000000,26287000000,6918000000,None,4700000000,4684000000,44503000000,None,24146000000,1700000000,22442000000,28830000000,971000000,9536000000,70418000000,28352000000,110551000000,3120000000,2714500000
UNH,2020-12-31,USD,197289000000,53718000000,16921000000,19781000000,None,25404000000,143571000000,8626000000,5230000000,82193000000,10856000000,71337000000,43594000000,41242000000,2860000000,21067000000,11510000000,126750000000,72420000000,None,2842000000,4819000000,4819000000,55930000000,None,56120000000,4819000000,38648000000,42280000000,20392000000,12315000000,70539000000,None,69295000000,10000000,946000000
UNH,2019-12-31,USD,173889000000,42634000000,10985000000,14245000000,None,21462000000,131255000000,8704000000,4995000000,76008000000,10349000000,65659000000,40222000000,37209000000,3260000000,16567000000,9334000000,111727000000,61782000000,None,2622000000,3870000000,3870000000,48352000000,None,48104000000,3870000000,36808000000,39474000000,14595000000,10144000000,62162000000,None,61178000000,9000000,948000000
UNH,2018-12-31,USD,152221000000,38692000000,10866000000,14324000000,None,18250000000,113529000000,8458000000,4141000000,68235000000,9325000000,58910000000,35864000000,32510000000,3458000000,6118000000,4326000000,95994000000,53209000000,None,2396000000,1973000000,1973000000,43773000000,None,38564000000,1973000000,34581000000,35234000000,12244000000,5730000000,56227000000,None,55846000000,10000000,960000000
UNH,2017-12-31,USD,139058000000,37084000000,11981000000,15490000000,None,15830000000,101974000000,7013000000,3694000000,63045000000,8489000000,54556000000,31850000000,28341000000,3509000000,5764000000,3575000000,87036000000,50463000000,None,2269000000,2857000000,2857000000,38956000000,None,36886000000,2857000000,28835000000,31067000000,12286000000,5556000000,52022000000,None,48730000000,10000000,969000000
UNH,2016-12-31,USD,122810000000,33879000000,10430000000,13275000000,None,15651000000,88931000000,5901000000,3749000000,56125000000,8541000000,47584000000,26713000000,23868000000,2845000000,4953000000,3037000000,82621000000,49252000000,None,1968000000,7193000000,7193000000,31517000000,None,41921000000,7193000000,25777000000,32770000000,10339000000,4831000000,40189000000,None,40945000000,10000000,952000000
WMT,2021-01-31,USD,252496000000,90067000000,17741000000,32163000000,44949000000,6516000000,167329000000,92201000000,88370000000,33883000000,4900000000,28983000000,14422000000,None,14422000000,20861000000,23598000000,171571000000,92645000000,49141000000,None,3806000000,224000000,57950000000,3847000000,44309000000,3115000000,41194000000,44309000000,35898000000,None,80925000000,None,88763000000,282000000,2828000000
WMT,2020-01-31,USD,236495000000,61806000000,9465000000,9465000000,44435000000,6284000000,179889000000,105208000000,89820000000,36273000000,5200000000,31073000000,5438000000,5990000000,5438000000,1622000000,16567000000,161826000000,77790000000,46973000000,None,8241000000,600000000,64192000000,4307000000,49076000000,5362000000,43714000000,49076000000,20586000000,None,74669000000,None,83943000000,284000000,2835000000
WMT,2019-01-31,USD,219295000000,61897000000,7722000000,7722000000,44269000000,6283000000,150320000000,104317000000,81493000000,31181000000,5800000000,31181000000,None,3995000000,None,3623000000,14822000000,146799000000,77477000000,47060000000,1932000000,7830000000,5225000000,50203000000,0,45396000000,1876000000,43520000000,45396000000,20655000000,None,72496000000,None,80785000000,288000000,2896000000
WMT,2018-01-31,USD,204522000000,59664000000,6756000000,6756000000,43783000000,5614000000,137715000000,107675000000,77479000000,18242000000,18242000000,18242000000,None,7614000000,None,3511000000,11798000000,126653000000,78521000000,46092000000,730000000,9662000000,5257000000,36825000000,7447000000,33783000000,3738000000,30045000000,33783000000,20750000000,None,77869000000,None,85107000000,295000000,2956000000
WMT,2017-01-31,USD,198825000000,57689000000,6867000000,6867000000,43046000000,5835000000,134668000000,107710000000,71782000000,17037000000,17037000000,17037000000,None,479000000,None,1941000000,9921000000,121027000000,66928000000,41433000000,743000000,3920000000,1099000000,42018000000,6568000000,38271000000,2256000000,36015000000,38271000000,2777000000,None,77798000000,None,89354000000,305000000,3062000000
fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
HD,2021-01-31,USD,70581000000,28477000000,7895000000,7895000000,16627000000,2992000000,48209000000,24705000000,24100000000,10738000000,3612000000,7126000000,None,None,None,963000000,4311000000,67282000000,23166000000,11606000000,2823000000,1416000000,0,44116000000,2700000000,34750000000,1350000000,None,34750000000,None,2938000000,3299000000,65793000000,58134000000,89000000,1077000000
HD,2020-02-02,USD,51236000000,19810000000,2133000000,2133000000,14531000000,2106000000,32360000000,22770000000,22100000000,2254000000,None,2254000000,None,None,None,1040000000,807000000,54352000000,18375000000,7787000000,2116000000,2813000000,974000000,30911000000,1081000000,29500000000,1755000000,None,30318000000,0,1535000000,None,65196000000,51729000000,89000000,1077000000
HD,2019-02-03,USD,44003000000,18529000000,1778000000,1778000000,13925000000,1936000000,25474000000,22375000000,20564000000,2252000000,None,2252000000,None,None,None,890000000,847000000,45881000000,16716000000,7755000000,1782000000,2395000000,1339000000,29165000000,None,26814000000,1056000000,None,28153000000,None,1867000000,None,58196000000,46423000000,89000000,1105000000
HD,2018-01-28,USD,44529000000,18933000000,3595000000,3595000000,12748000000,1952000000,25715000000,22075000000,19339000000,2275000000,None,2275000000,None,None,None,638000000,1246000000,43075000000,16194000000,7244000000,1805000000,2761000000,1559000000,26881000000,None,49235000000,1202000000,None,50794000000,None,2174000000,1454000000,48196000000,39935000000,89000000,1158000000
HD,2017-01-29,USD,42966000000,17724000000,2538000000,2538000000,12549000000,2029000000,25333000000,21914000000,18512000000,2093000000,None,2093000000,None,None,None,608000000,1235000000,38633000000,14133000000,7000000000,1669000000,1252000000,710000000,24500000000,None,44915000000,542000000,None,45625000000,None,1855000000,4333000000,40194000000,35519000000,88000000,1203000000
BAC,2020-12-31,USD,2819627000000,389706000000,380463000000,380463000000,164000000,None,92151000000,11000000000,None,71151000000,2200000000,68951000000,3359414000000,255276000000,234491000000,-322194000000,-803194000000,2546703000000,19321000000,None,None,19321000000,19321000000,262934000000,None,262934000000,19321000000,32200000000,282255000000,1795480000000,170339000000,272924000000,None,164088000000,85982000000,8650814105
BAC,2019-12-31,USD,2434079000000,170760000000,161560000000,161560000000,285000000,None,90912000000,10561000000,None,70651000000,1700000000,68951000000,2897868000000,1469209000000,472197000000,633757000000,1053796000000,2169269000000,24204000000,None,None,24204000000,24204000000,216602000000,None,240856000000,24204000000,34975000000,265060000000,1928463000000,165131000000,264810000000,None,156319000000,91723000000,8836148954
BAC,2018-12-31,USD,2354507000000,187771000000,177404000000,177404000000,300000000,None,80631000000,9906000000,None,70725000000,1774000000,68951000000,1768544000000,1409386000000,441753000000,619157000000,1053941000000,2089182000000,20189000000,None,None,20189000000,20189000000,229392000000,None,229392000000,20189000000,27689000000,249529000000,1839601000000,187018000000,265325000000,None,136314000000,118896000000,9669286370
